original_score_band,n_cases,feasible,feasible_rate,feasible_rate_wilson_ci95_low,feasible_rate_wilson_ci95_high,near_feasible,near_feasible_rate,near_feasible_rate_wilson_ci95_low,near_feasible_rate_wilson_ci95_high,median_total_cost,small_n_flag,reliability_note
OVERALL,764,23,0.030104712041884817,0.020142799570093375,0.04476833312290318,57,0.07460732984293193,0.05802893452361608,0.09544214660514125,0.333510668469158,False,
very_high_risk,525,0,0.0,0.0,0.0072639138944599795,0,0.0,0.0,0.0072639138944599795,0.31164203920610256,False,
moderate_risk,72,0,0.0,0.0,0.05065117259645781,0,0.0,0.0,0.05065117259645781,0.6021570965952816,False,
near_threshold,98,23,0.23469387755102042,0.16178478951873154,0.32761765421930306,57,0.5816326530612245,0.48269880400178744,0.6744081363865095,0.310177374447955,False,
high_risk,69,0,0.0,3.469446951953614e-18,0.05273725818905173,0,0.0,3.469446951953614e-18,0.05273725818905173,0.7314980153522351,False,
