model,status,error_type,fallback_used,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
logistic_regression,ok,,False,0.7463047672707669,0.2791496784450704,0.05583638853606447,0.2156706359066082,0.9346666666666666,0.5429292929292929,0.14295212765957446,0.22631578947368422
random_forest,ok,,False,0.809232929499236,0.3280748123081657,0.05293900341281933,0.19993383706169965,0.9255555555555556,0.4278481012658228,0.3371010638297872,0.3770918557084418
xgboost,ok,,False,0.8370922127264362,0.36393188964643175,0.051081880927085876,0.18836169587435653,0.9311111111111111,0.47584033613445376,0.3011968085106383,0.3688925081433225
monotone_xgboost,ok,,False,0.8369093004797267,0.3626949521450701,0.05127457529306412,0.1891173321684604,0.9321333333333334,0.4867358708189158,0.28058510638297873,0.35596794601433995
ebm,ok,,False,0.8335974994477164,0.35610420387119945,0.05164272256019176,0.1909925340236185,0.9340444444444445,0.5131926121372031,0.2586436170212766,0.34394341290893016
monotone_gam,ok,,False,0.7663180778101604,0.30273087080686906,0.054133620373313665,0.20763266027056085,0.9344888888888889,0.5238853503184714,0.21875,0.30863039399624764
