model,threshold,denial_rate,precision,recall,f1,tp,fp,tn,fn,target_precision,achieved_precision_at_threshold
xcreditscore,0.3010596036911011,0.02591111111111111,0.5300171526586621,0.20545212765957446,0.2961188308576905,309,274,20722,1195,0.5273037542662116,0.5300171526586621
logistic_regression,0.20583795153673262,0.02542222222222222,0.527972027972028,0.20079787234042554,0.2909441233140655,302,270,20726,1202,0.5273037542662116,0.527972027972028
random_forest,0.4408353936617724,0.026133333333333335,0.5374149659863946,0.21010638297872342,0.3021032504780115,316,272,20724,1188,0.5273037542662116,0.5374149659863946
xgboost,0.3763920068740845,0.029955555555555555,0.5311572700296736,0.23803191489361702,0.32874196510560155,358,316,20680,1146,0.5273037542662116,0.5311572700296736
monotone_xgboost,0.3607628643512726,0.031066666666666666,0.5278969957081545,0.24534574468085107,0.33499773036768044,369,330,20666,1135,0.5273037542662116,0.5278969957081545
ebm,0.32329868016056984,0.030844444444444445,0.5288184438040345,0.2440159574468085,0.3339399454049136,367,327,20669,1137,0.5273037542662116,0.5288184438040345
monotone_gam,0.30623647007479327,0.027155555555555554,0.530278232405892,0.2154255319148936,0.30638297872340425,324,287,20709,1180,0.5273037542662116,0.530278232405892
