metric,n_pairs,mean_delta_xcredit_minus_baseline,delta_ci95_low,delta_ci95_high,paired_sign_flip_pvalue,xcredit_better_on_more_folds,nadeau_bengio_t_stat,nadeau_bengio_pvalue,nadeau_bengio_df,nadeau_bengio_variance_multiplier,paired_sign_flip_pvalue_holm_bonferroni,nadeau_bengio_pvalue_holm_bonferroni
auc,10,-0.0815168250011514,-0.0860109354807609,-0.07775407325058085,0.0018999050047497626,0.0,-19.481468546858295,1.1445358467283555e-08,9.0,0.35,0.011399430028498575,6.867215080370133e-08
pr_auc,10,-0.059213883045665286,-0.06372916009422525,-0.054509704571905605,0.0018999050047497626,0.0,-12.62693016480214,4.9841710582988e-07,9.0,0.35,0.011399430028498575,2.4920855291494e-06
f1,10,-0.07138199185587084,-0.08218004541166937,-0.060367839872120285,0.0018999050047497626,0.0,-6.476376564139155,0.00011455902702159611,9.0,0.35,0.011399430028498575,0.0003476467558927394
accuracy,10,0.0011066666666666003,0.0006133333333332877,0.001556666666666584,0.0058497075146242685,0.9,2.313490548083702,0.04597309210752991,9.0,0.35,0.011399430028498575,0.04597309210752991
precision,10,0.029288792164414695,0.01803023206235389,0.03875469681594217,0.003749812509374531,0.9,2.7992963002325797,0.020736460584854392,9.0,0.35,0.011399430028498575,0.041472921169708785
recall,10,-0.07560271803044731,-0.0866751155511023,-0.06428301131518163,0.0018999050047497626,0.0,-6.7162829705522835,8.691168897318485e-05,9.0,0.35,0.011399430028498575,0.0003476467558927394
