repeat,fold,model,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
1,1,xcreditscore,0.7619149944607841,0.3008470130524718,0.05429448187351227,0.2078748042559962,0.9345,0.5312977099236641,0.17347956131605186,0.2615558060879369
1,1,logistic_regression,0.7447978366109074,0.26755607223815797,0.0565190103672331,0.21634232540246018,0.9342666666666667,0.5425,0.10817547357926222,0.18038237738985868
1,1,random_forest,0.8094181145211932,0.30862793395066523,0.05370054771191926,0.20166511177139868,0.9293666666666667,0.45334434351775393,0.27367896311066797,0.3413117811625738
1,1,xgboost,0.8375674131424402,0.34623402174334267,0.05167853832244873,0.18965256053134164,0.9332666666666667,0.5021186440677966,0.23629112662013957,0.3213559322033898
1,2,xcreditscore,0.7610341711358325,0.2987639564097629,0.054402537643909454,0.20865342859862837,0.9349333333333333,0.5413416536661466,0.17306733167082294,0.2622826908541194
1,2,logistic_regression,0.7516397522001391,0.2764898435866642,0.05593211776958596,0.21453588409645397,0.9353,0.5720720720720721,0.12668329177057355,0.2074316047366272
1,2,random_forest,0.814756099570684,0.31776491387751543,0.05361339053244686,0.19967784851790202,0.9278333333333333,0.437984496124031,0.2817955112219451,0.34294385432473445
1,2,xgboost,0.8384661315099464,0.3585584912694938,0.05134276673197746,0.18853921668852558,0.9332333333333334,0.5009276437847866,0.26932668329177056,0.3503081414206941
1,3,xcreditscore,0.7495578253865247,0.2936873572066768,0.05435408651828766,0.20890803201116911,0.9343333333333333,0.526080476900149,0.17605985037406482,0.26382660687593423
1,3,logistic_regression,0.7381809897474567,0.2731207936253404,0.05605348971345348,0.21534614766150087,0.9353333333333333,0.5740318906605922,0.1256857855361596,0.20621931260229132
1,3,random_forest,0.8152766057708024,0.32995089087522433,0.05291895854130199,0.19903143940164889,0.9297666666666666,0.4585365853658537,0.28129675810473814,0.34868624420401856
1,3,xgboost,0.8434628645389562,0.3631857577132832,0.05097660422325134,0.18671656099000508,0.9339666666666666,0.5117416829745597,0.2608478802992519,0.3455566567558639
1,4,xcreditscore,0.7585393900496126,0.29731843426582577,0.05452347174286842,0.20860465374495948,0.9348333333333333,0.5403225806451613,0.16708229426433915,0.25523809523809526
1,4,logistic_regression,0.7433819273926277,0.27453873569102,0.05605907781039206,0.21591812845688146,0.935,0.5632183908045977,0.12219451371571072,0.20081967213114754
1,4,random_forest,0.8092155572846771,0.3133895807287264,0.05362724941645588,0.20147012241513007,0.9283,0.44178628389154706,0.27630922693266835,0.33998158944461493
1,4,xgboost,0.8339609985573662,0.3480724127393189,0.051819879561662674,0.19058942189227387,0.9327666666666666,0.49410609037328096,0.25087281795511224,0.3327820046311611
1,5,xcreditscore,0.7561396829412448,0.2976697080124598,0.05428960546851158,0.20849406150273792,0.9351,0.5455974842767296,0.17306733167082294,0.26277925028398336
1,5,logistic_regression,0.7433021393649293,0.2754205074794005,0.055938933862019743,0.21592150957935877,0.9352333333333334,0.5759803921568627,0.1172069825436409,0.19477828429341068
1,5,random_forest,0.809453567367525,0.32069252566042117,0.053096785521177324,0.20153087042666307,0.9297333333333333,0.45661331086773377,0.27032418952618453,0.33959899749373434
1,5,xgboost,0.8365532854771449,0.3596368927695638,0.05127142742276192,0.1888289643649728,0.9341666666666667,0.5161290322580645,0.23940149625935161,0.3270868824531516
2,1,xcreditscore,0.7612606027028581,0.2953121458502964,0.0543883852660656,0.207938872203415,0.9351,0.5507745266781411,0.15952143569292124,0.24739080015461926
2,1,logistic_regression,0.7468744904815452,0.2698862644872129,0.056353963473250585,0.21595732752535793,0.9345666666666667,0.5510688836104513,0.1156530408773679,0.1911825298722703
2,1,random_forest,0.8155309826040916,0.32787936652940375,0.053089220460734714,0.19866940335279493,0.9298,0.4596122778675283,0.28364905284147557,0.35080147965474723
2,1,xgboost,0.8359027724998184,0.36374144775838196,0.051150765269994736,0.18869476748313754,0.9341333333333334,0.5146771037181996,0.2622133599202393,0.3474240422721268
2,2,xcreditscore,0.7500165909569708,0.2804431312642681,0.05502232909202576,0.2111122593336627,0.9345666666666667,0.5364583333333334,0.1541147132169576,0.23944207671445175
2,2,logistic_regression,0.7373560383734359,0.2652602924449283,0.056437944961124614,0.21648675988143956,0.9348,0.5610972568578554,0.11221945137157108,0.18703241895261846
2,2,random_forest,0.8065929033462067,0.30053254195831464,0.054164118824537,0.20301932336719822,0.9273666666666667,0.42857142857142855,0.2603491271820449,0.3239218119764195
2,2,xgboost,0.8325605792626845,0.33738391823057806,0.0522490069270134,0.1917798328765032,0.9323666666666667,0.48821218074656186,0.24788029925187033,0.328812437975521
2,3,xcreditscore,0.7507914532297583,0.3020342499830989,0.05414797365665436,0.208769987795071,0.9346,0.5285524568393094,0.19850374064837906,0.2886149383611313
2,3,logistic_regression,0.7428471685583327,0.2817139192708128,0.055815121442212394,0.21465128712940923,0.9351,0.5674418604651162,0.12169576059850375,0.20041067761806983
2,3,random_forest,0.8151069994241046,0.32240399860515256,0.05318329784604087,0.19917488073244494,0.9284333333333333,0.44170771756978655,0.2683291770573566,0.3338504498914055
2,3,xgboost,0.8448348587363526,0.3682138967930336,0.05082114413380623,0.1861107141896838,0.9337666666666666,0.5093360995850622,0.24488778054862842,0.3307510946446615
2,4,xcreditscore,0.7581426679773151,0.29252278632303536,0.054480090737342834,0.20860148738901366,0.9325666666666667,0.48880597014925375,0.19600997506234413,0.27981488074047706
2,4,logistic_regression,0.7444023447364799,0.2765920106685904,0.05593148192355614,0.215441828810996,0.9355,0.5813953488372093,0.12468827930174564,0.2053388090349076
2,4,random_forest,0.8133495338275137,0.3156992655512114,0.05362508825513565,0.20009627914717135,0.9280666666666667,0.4387510008006405,0.27331670822942644,0.3368162261831592
2,4,xgboost,0.8383581856218536,0.3534010186891662,0.05150867998600006,0.18894699852671953,0.9331,0.4990234375,0.25486284289276806,0.3374050841862001
2,5,xcreditscore,0.7577490280371585,0.3158637409297086,0.05361441150307655,0.20686530431670264,0.9364333333333333,0.57,0.19900249376558604,0.29500924214417745
2,5,logistic_regression,0.7479660644780263,0.27670825954870615,0.05587260956272115,0.21537518472830577,0.9352666666666667,0.5711060948081265,0.1261845386533666,0.20669934640522875
2,5,random_forest,0.8135191134505226,0.3261031563726815,0.05293630781075226,0.1984616271433778,0.9303333333333333,0.4643157010915197,0.27581047381546137,0.3460575719649562
2,5,xgboost,0.8386475675430106,0.36817349604809524,0.050836026668548584,0.1875311159373191,0.9351333333333334,0.5300713557594292,0.2593516209476309,0.348292029470864
