metric,xcreditscore,best_baseline_model,best_baseline_value,delta_xcredit_minus_best_baseline
auc,0.7937509157509157,monotone_gam,0.7962238502238501,-0.002472934472934396
pr_auc,0.7982811160817427,monotone_gam,0.7997930585586461,-0.0015119424769034495
f1,0.7588075880758808,monotone_gam,0.7603938730853391,-0.0015862850094583436
accuracy,0.7163798597833014,monotone_gam,0.7208413001912046,-0.004461440407903194
