metric,mean_delta,ci95_low,ci95_high,p_value,xcredit_better_fold_share
auc,0.005116631413194206,0.0027356134775703977,0.007441568838280577,0.005699715014249288,0.9
pr_auc,0.005097311965581897,8.852949270776319e-05,0.009713968373229387,0.08634568271586421,0.7
f1,0.00410011989167165,0.0010927213578647871,0.006707188523054586,0.038498075096245185,0.8
accuracy,0.001816535036343514,-0.002533392793296964,0.0057840073958044915,0.4218289085545723,0.8
precision,-0.0015891585112300598,-0.005842123047547438,0.0024994541518218636,0.496025198740063,0.5
recall,0.013554792289897699,0.008607051365988138,0.018042307524433997,0.0038498075096245186,0.9
