objective,threshold,auc,pr_auc,accuracy,precision,recall,f1,denied,cf_feasible
f1,0.38000000000000006,0.794019536019536,0.7950281322649693,0.7112810707456979,0.6742857142857143,0.8644688644688645,0.7576243980738363,1050,51
precision,0.7000000000000004,0.794950752950753,0.7944489404796791,0.6781389420012747,0.8152610441767069,0.49572649572649574,0.6165527714502658,498,74
recall,0.3,0.7945372405372405,0.7951572600144081,0.6826003824091779,0.6387208297320657,0.9023199023199023,0.7479757085020243,1157,41
