original_score_band,n_cases,feasible,feasible_rate,feasible_rate_wilson_ci95_low,feasible_rate_wilson_ci95_high,near_feasible,near_feasible_rate,near_feasible_rate_wilson_ci95_low,near_feasible_rate_wilson_ci95_high,median_total_cost,small_n_flag,reliability_note
OVERALL,1001,677,0.6763236763236763,0.6467128367216817,0.7045863626707172,27,0.026973026973026972,0.018602715006076347,0.03896005602904619,0.3880062629612252,False,
moderate_risk,142,141,0.9929577464788732,0.9611907282841454,0.9987557857734521,0,0.0,0.0,0.02633996431300811,0.32927002240897596,False,
very_high_risk,629,317,0.5039745627980922,0.4649959938059952,0.5429048792014678,22,0.034976152623211444,0.023209425246905925,0.05238843287991011,0.6810997567990018,False,
high_risk,159,148,0.9308176100628931,0.8803754538082783,0.960933639049037,5,0.031446540880503145,0.01350538616419597,0.07149421357492854,0.4363184886566097,False,
near_threshold,71,71,1.0,0.9486720478031097,1.0,0,0.0,0.0,0.05132795219689034,0.1268385592904132,False,
