threshold,approve_rate,deny_rate,policy_interpretation,accuracy,precision,recall,f1,tn,fp,fn,tp
0.3,0.8302222222222222,0.16977777777777778,approval_focused_policy_high_approvals_lower_risk_capture,0.8084444444444444,0.587696335078534,0.4508032128514056,0.5102272727272728,3189,315,547,449
0.31,0.8335555555555556,0.16644444444444445,approval_focused_policy_high_approvals_lower_risk_capture,0.8082222222222222,0.5887850467289719,0.4427710843373494,0.5054441260744985,3196,308,555,441
0.32,0.8404444444444444,0.15955555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.8111111111111111,0.6016713091922006,0.43373493975903615,0.5040840140023337,3218,286,564,432
0.33,0.8471111111111111,0.15288888888888888,approval_focused_policy_high_approvals_lower_risk_capture,0.812,0.6090116279069767,0.4206827309236948,0.497624703087886,3235,269,577,419
0.34,0.8504444444444444,0.14955555555555555,approval_focused_policy_high_approvals_lower_risk_capture,0.8135555555555556,0.6166419019316494,0.4166666666666667,0.49730377471539844,3246,258,581,415
0.35000000000000003,0.852,0.148,approval_focused_policy_high_approvals_lower_risk_capture,0.8128888888888889,0.6156156156156156,0.41164658634538154,0.49338146811071,3248,256,586,410
0.36000000000000004,0.8557777777777777,0.14422222222222222,approval_focused_policy_high_approvals_lower_risk_capture,0.8148888888888889,0.6255778120184899,0.40763052208835343,0.49361702127659574,3261,243,590,406
0.37000000000000005,0.8613333333333333,0.13866666666666666,approval_focused_policy_high_approvals_lower_risk_capture,0.8151111111111111,0.6314102564102564,0.39558232931726905,0.48641975308641977,3274,230,602,394
0.38000000000000006,0.8644444444444445,0.13555555555555557,approval_focused_policy_high_approvals_lower_risk_capture,0.8164444444444444,0.639344262295082,0.39156626506024095,0.48567870485678705,3284,220,606,390
0.39000000000000007,0.8666666666666667,0.13333333333333333,approval_focused_policy_high_approvals_lower_risk_capture,0.816,0.64,0.3855421686746988,0.48120300751879697,3288,216,612,384
0.4000000000000001,0.868,0.132,approval_focused_policy_high_approvals_lower_risk_capture,0.816,0.6414141414141414,0.3825301204819277,0.47924528301886793,3291,213,615,381
0.4100000000000001,0.8693333333333333,0.13066666666666665,approval_focused_policy_high_approvals_lower_risk_capture,0.8164444444444444,0.6445578231292517,0.38052208835341367,0.47853535353535354,3295,209,617,379
0.4200000000000001,0.8708888888888889,0.12911111111111112,approval_focused_policy_high_approvals_lower_risk_capture,0.8162222222222222,0.6454388984509466,0.37650602409638556,0.4755865567533291,3298,206,621,375
0.4300000000000001,0.872,0.128,approval_focused_policy_high_approvals_lower_risk_capture,0.816,0.6458333333333334,0.37349397590361444,0.4732824427480916,3300,204,624,372
0.4400000000000001,0.8735555555555555,0.12644444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.8162222222222222,0.648506151142355,0.3704819277108434,0.4715654952076677,3304,200,627,369
0.4500000000000001,0.8744444444444445,0.12555555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.8171111111111111,0.6530973451327433,0.3704819277108434,0.4727738629083921,3308,196,627,369
0.46000000000000013,0.8764444444444445,0.12355555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.8173333333333334,0.6564748201438849,0.36646586345381527,0.47036082474226804,3313,191,631,365
0.47000000000000014,0.8775555555555555,0.12244444444444444,approval_focused_policy_high_approvals_lower_risk_capture,0.8171111111111111,0.6569872958257713,0.3634538152610442,0.4680025856496445,3315,189,634,362
0.48000000000000015,0.88,0.12,approval_focused_policy_high_approvals_lower_risk_capture,0.8168888888888889,0.6592592592592592,0.357429718875502,0.4635416666666667,3320,184,640,356
0.49000000000000016,0.8813333333333333,0.11866666666666667,approval_focused_policy_high_approvals_lower_risk_capture,0.8164444444444444,0.6591760299625468,0.3534136546184739,0.46013071895424834,3322,182,644,352
0.5000000000000002,0.8833333333333333,0.11666666666666667,approval_focused_policy_high_approvals_lower_risk_capture,0.8171111111111111,0.6647619047619048,0.35040160642570284,0.4589086127547666,3328,176,647,349
0.5100000000000002,0.8848888888888888,0.11511111111111111,approval_focused_policy_high_approvals_lower_risk_capture,0.8177777777777778,0.6698841698841699,0.34839357429718876,0.4583883751651255,3333,171,649,347
0.5200000000000002,0.8873333333333333,0.11266666666666666,approval_focused_policy_high_approvals_lower_risk_capture,0.818,0.6745562130177515,0.3433734939759036,0.4550898203592814,3339,165,654,342
0.5300000000000002,0.8906666666666667,0.10933333333333334,approval_focused_policy_high_approvals_lower_risk_capture,0.8168888888888889,0.6747967479674797,0.3333333333333333,0.44623655913978494,3344,160,664,332
0.5400000000000003,0.8944444444444445,0.10555555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.8175555555555556,0.6842105263157895,0.32630522088353414,0.4418762746430999,3354,150,671,325
0.5500000000000003,0.8977777777777778,0.10222222222222223,approval_focused_policy_high_approvals_lower_risk_capture,0.8173333333333334,0.6891304347826087,0.31827309236947793,0.43543956043956045,3361,143,679,317
0.5600000000000003,0.9022222222222223,0.09777777777777778,approval_focused_policy_high_approvals_lower_risk_capture,0.8177777777777778,0.7,0.3092369477911647,0.42896935933147634,3372,132,688,308
0.5700000000000003,0.9073333333333333,0.09266666666666666,approval_focused_policy_high_approvals_lower_risk_capture,0.8148888888888889,0.6954436450839329,0.29116465863453816,0.41047416843595186,3377,127,706,290
0.5800000000000003,0.9091111111111111,0.0908888888888889,approval_focused_policy_high_approvals_lower_risk_capture,0.814,0.6943765281173594,0.285140562248996,0.40427046263345195,3379,125,712,284
0.5900000000000003,0.9126666666666666,0.08733333333333333,approval_focused_policy_high_approvals_lower_risk_capture,0.8122222222222222,0.6921119592875318,0.27309236947791166,0.39164866810655147,3383,121,724,272
0.6000000000000003,0.9157777777777778,0.08422222222222223,approval_focused_policy_high_approvals_lower_risk_capture,0.8126666666666666,0.7018469656992085,0.26706827309236947,0.3869090909090909,3391,113,730,266
0.6100000000000003,0.92,0.08,approval_focused_policy_high_approvals_lower_risk_capture,0.8111111111111111,0.7027777777777777,0.2540160642570281,0.37315634218289084,3397,107,743,253
0.6200000000000003,0.9248888888888889,0.07511111111111111,approval_focused_policy_high_approvals_lower_risk_capture,0.8084444444444444,0.6982248520710059,0.23694779116465864,0.3538230884557721,3402,102,760,236
0.6300000000000003,0.9297777777777778,0.07022222222222223,approval_focused_policy_high_approvals_lower_risk_capture,0.8062222222222222,0.6962025316455697,0.22088353413654618,0.3353658536585366,3408,96,776,220
0.6400000000000003,0.9333333333333333,0.06666666666666667,approval_focused_policy_high_approvals_lower_risk_capture,0.8066666666666666,0.71,0.21385542168674698,0.3287037037037037,3417,87,783,213
0.6500000000000004,0.9384444444444444,0.06155555555555556,approval_focused_policy_high_approvals_lower_risk_capture,0.806,0.7220216606498195,0.20080321285140562,0.31421838177533384,3427,77,796,200
0.6600000000000004,0.9422222222222222,0.057777777777777775,approval_focused_policy_high_approvals_lower_risk_capture,0.804,0.7192307692307692,0.18775100401606426,0.29777070063694266,3431,73,809,187
0.6700000000000004,0.9462222222222222,0.05377777777777778,approval_focused_policy_high_approvals_lower_risk_capture,0.8017777777777778,0.7148760330578512,0.17369477911646586,0.27948303715670436,3435,69,823,173
0.6800000000000004,0.9486666666666667,0.051333333333333335,approval_focused_policy_high_approvals_lower_risk_capture,0.8006666666666666,0.7142857142857143,0.16566265060240964,0.26894865525672373,3438,66,831,165
0.6900000000000004,0.9513333333333334,0.048666666666666664,approval_focused_policy_high_approvals_lower_risk_capture,0.8006666666666666,0.726027397260274,0.15963855421686746,0.2617283950617284,3444,60,837,159
0.7000000000000004,0.9531111111111111,0.04688888888888889,approval_focused_policy_high_approvals_lower_risk_capture,0.8011111111111111,0.7393364928909952,0.1566265060240964,0.25849212924606463,3449,55,840,156
