model,status,error_type,fallback_used,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
logistic_regression,ok,,False,0.7129428100529973,0.4913121941583428,0.14703605371372885,0.4713453915308366,0.8022222222222222,0.5682989690721649,0.4427710843373494,0.49774266365688485
random_forest,ok,,False,0.7622191104601053,0.5302047398863782,0.13916635539907243,0.44266345677661995,0.7751111111111111,0.493006993006993,0.5662650602409639,0.5271028037383177
xgboost,ok,,False,0.7781582952815829,0.557182300354548,0.13499650359153748,0.4308176387998191,0.8004444444444444,0.5487077534791253,0.5542168674698795,0.5514485514485514
monotone_xgboost,ok,,False,0.7792021396086629,0.554040740847466,0.13534985482692719,0.43166996880904673,0.796,0.5392354124748491,0.5381526104417671,0.5386934673366834
ebm,ok,,False,0.7785886697474831,0.5353111986007659,0.13787041827503613,0.43753419874766036,0.8022222222222222,0.5592841163310962,0.5020080321285141,0.5291005291005291
monotone_gam,ok,,False,0.7715026773761714,0.5415140560306129,0.13767133767212084,0.4376680097156845,0.7995555555555556,0.5547785547785548,0.4779116465863454,0.5134843581445523
