model,threshold,denial_rate,precision,recall,f1,tp,fp,tn,fn,target_precision,achieved_precision_at_threshold
xcreditscore,0.30032041668891907,0.16977777777777778,0.587696335078534,0.4508032128514056,0.5102272727272726,449,315,3189,547,0.587696335078534,0.587696335078534
logistic_regression,0.3292317573834926,0.15866666666666668,0.5882352941176471,0.42168674698795183,0.4912280701754386,420,294,3210,576,0.587696335078534,0.5882352941176471
random_forest,0.409375,0.1708888888888889,0.5851755526657998,0.45180722891566266,0.509915014164306,450,319,3185,546,0.587696335078534,0.5882352941176471
xgboost,0.3519122898578644,0.1811111111111111,0.5877300613496933,0.48092369477911645,0.5289895085588073,479,336,3168,517,0.587696335078534,0.5877300613496933
monotone_xgboost,0.36031782627105713,0.17333333333333334,0.5897435897435898,0.46184738955823296,0.5180180180180181,460,320,3184,536,0.587696335078534,0.5897435897435898
ebm,0.3381737874346222,0.16844444444444445,0.5936675461741425,0.45180722891566266,0.5131128848346636,450,308,3196,546,0.587696335078534,0.5936675461741425
monotone_gam,0.33077499556353607,0.16933333333333334,0.5879265091863517,0.4497991967871486,0.5096700796359499,448,314,3190,548,0.587696335078534,0.5879265091863517
