repeat,fold,model,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
1,1,xcreditscore,0.7581612032462038,0.5370231458720595,0.13628645241260529,0.4373223945804043,0.8208333333333333,0.6376496191512514,0.44126506024096385,0.5215843346684468
1,1,logistic_regression,0.7226280442832975,0.5020625856741076,0.14519425850373713,0.46621640682262494,0.814,0.6185682326621924,0.4164156626506024,0.4977497749774977
1,1,random_forest,0.7710327611817132,0.5420766992696892,0.13679685030832212,0.4364429456849797,0.8066666666666666,0.5708263069139966,0.509789156626506,0.5385839299920445
1,1,xgboost,0.7904075097478958,0.5570697117132934,0.13302774727344513,0.4244720292135543,0.818,0.6123809523809524,0.48418674698795183,0.5407905803195963
1,2,xcreditscore,0.7487886366726006,0.5214193995832146,0.1396034061908722,0.4452496166248778,0.8126666666666666,0.6102062975027145,0.4235116804822909,0.5
1,2,logistic_regression,0.712483295224325,0.49059392079352293,0.14689896053369364,0.4706336027923106,0.8101666666666667,0.6049107142857143,0.4084400904295403,0.4876293297345929
1,2,random_forest,0.765581139129031,0.5279394130707976,0.13963354164418046,0.44223371574809117,0.796,0.5424567188788129,0.4958553127354936,0.5181102362204725
1,2,xgboost,0.7718595707096404,0.5443164353647466,0.13707728683948517,0.43677103300293935,0.806,0.575813953488372,0.46646571213263,0.5154038301415487
1,3,xcreditscore,0.7593551984810367,0.5343013419223509,0.13845349848270416,0.4423273730460269,0.816,0.6289017341040463,0.40994724943481536,0.49635036496350365
1,3,logistic_regression,0.7178019732397839,0.5092304727833995,0.14525834334496823,0.4664379723519133,0.8135,0.6181818181818182,0.40994724943481536,0.4929768917082012
1,3,random_forest,0.7608992865909776,0.5304991312105831,0.1392095844230531,0.44305705564424774,0.8016666666666666,0.5591026747195859,0.4883195177091183,0.5213193885760258
1,3,xgboost,0.7792094301129595,0.5410386401492013,0.13653114438056946,0.4341406367785024,0.8078333333333333,0.5833333333333334,0.4589299171062547,0.5137072964993673
1,4,xcreditscore,0.7584375344194575,0.538585990974989,0.13524343073368073,0.43541694545441106,0.8238333333333333,0.6523702031602708,0.43556895252449135,0.5223678264798916
1,4,logistic_regression,0.7214589221765079,0.5072409538278491,0.1444086801135075,0.46416452148146226,0.8173333333333334,0.6290502793296089,0.4242652599849284,0.5067506750675067
1,4,random_forest,0.76646816332211,0.5486331515580386,0.13602172842619392,0.4392241289817215,0.8096666666666666,0.5787234042553191,0.5124340617935192,0.5435651478816946
1,4,xgboost,0.7816341725485807,0.5708715890088425,0.13199260830879211,0.42588542601032864,0.819,0.6116774791473587,0.49736247174076864,0.5486284289276808
1,5,xcreditscore,0.7613742851839627,0.5396807510377358,0.1379326730966568,0.4411059366558028,0.8145,0.6194196428571429,0.41823662396382816,0.4993252361673414
1,5,logistic_regression,0.7231801571051195,0.49869703325571557,0.1450680085753591,0.4648231509199213,0.8133333333333334,0.6174801362088536,0.40994724943481536,0.4927536231884058
1,5,random_forest,0.7641176822519851,0.5385626077242334,0.13870015283926554,0.4401706278246692,0.7983333333333333,0.5494505494505495,0.4898266767143934,0.5179282868525896
1,5,xgboost,0.7745439457151837,0.5557032207730385,0.13576464354991913,0.4321313926980633,0.8093333333333333,0.5854341736694678,0.4724943481537302,0.5229357798165137
