method,auc,pr_auc,brier,log_loss,ece,mce
raw,0.7521690643853954,0.5293459157744262,0.13932709395885468,0.4447139903658751,0.015105082218845689,0.03533109592066874
isotonic,0.7524514439034677,0.5064175134134501,0.1389554738998413,0.45517660260676257,0.015646484451970474,0.04389692576654464
platt,0.7521690643853954,0.5293459157744262,0.1401464538817074,0.44753223849062274,0.026029277253754167,0.06199675140366129
