metric,n_pairs,mean_delta_xcredit_minus_baseline,delta_ci95_low,delta_ci95_high,paired_sign_flip_pvalue,xcredit_better_on_more_folds,nadeau_bengio_t_stat,nadeau_bengio_pvalue,nadeau_bengio_df,nadeau_bengio_variance_multiplier,paired_sign_flip_pvalue_holm_bonferroni,nadeau_bengio_pvalue_holm_bonferroni
auc,10,-0.024874148405646446,-0.02854272301924172,-0.021119576616726726,0.0018999050047497626,0.0,-6.593968258149974,9.996710908828497e-05,9.0,0.35,0.011399430028498575,0.0004998355454414248
pr_auc,10,-0.022179385030926247,-0.025913999592884287,-0.017848386278059507,0.0018999050047497626,0.0,-5.433956105087278,0.0004142302013972766,9.0,0.35,0.011399430028498575,0.0012426906041918297
f1,10,-0.018428274539278616,-0.021941620078905197,-0.015004898830251426,0.0018999050047497626,0.0,-5.299458322022971,0.0004942109819348417,9.0,0.35,0.011399430028498575,0.0012426906041918297
accuracy,10,0.0056333333333333235,0.004233333333333311,0.006966666666666644,0.0018999050047497626,1.0,4.083666637175599,0.0027429121041485476,9.0,0.35,0.011399430028498575,0.0027429121041485476
precision,10,0.03464669413374286,0.028861676082876986,0.03988749608044222,0.0018999050047497626,1.0,6.207499933273,0.00015744245172230912,9.0,0.35,0.011399430028498575,0.0006297698068892365
recall,10,-0.047092533661397665,-0.05342583597388802,-0.04099142377724916,0.0018999050047497626,0.0,-7.54118871644875,3.5368712575849215e-05,9.0,0.35,0.011399430028498575,0.0002122122754550953
