feature,count
BILL_AMT3,73
BILL_AMT1,25
BILL_AMT5,16
BILL_AMT2,13
BILL_AMT6,9
BILL_AMT4,5
PAY_AMT1,4
PAY_AMT5,2
PAY_AMT2,1
