test_index,block_index,feature_a,feature_b,dense_weight,old_phi_a,old_phi_b,old_baseline_f0,old_block_output_fab,old_identity_residual,new_phi_a,new_phi_b,new_pure_interaction,new_baseline_f0,new_block_output_fab,new_identity_residual
1212,0,ExternalRiskEstimate,NetFractionRevolvingBurden,2.2201907634735107,0.6440399885177612,0.06835764646530151,0.001147715956903994,0.7135453224182129,0.0,0.2791777551174164,0.029205799102783203,0.0,0.4051617681980133,0.7135453224182129,0.0
688,0,ExternalRiskEstimate,NetFractionRevolvingBurden,2.2201907634735107,0.5699889063835144,0.3111523389816284,0.001147715956903994,0.882288932800293,0.0,0.27629441022872925,0.2008327692747116,-0.06269034743309021,0.4051617681980133,0.882288932800293,0.0
1025,0,ExternalRiskEstimate,NetFractionRevolvingBurden,2.2201907634735107,0.17315316200256348,0.03947288542985916,0.001147715956903994,0.21377377212047577,1.4901161193847656e-08,-0.20390474796295166,0.01251675933599472,-2.9802322387695312e-08,0.4051617681980133,0.21377377212047577,1.4901161193847656e-08
139,0,ExternalRiskEstimate,NetFractionRevolvingBurden,2.2201907634735107,0.12110693752765656,0.05030466243624687,0.001147715956903994,0.17255932092666626,0.0,-0.25137758255004883,0.018775135278701782,0.0,0.4051617681980133,0.17255932092666626,0.0
679,0,ExternalRiskEstimate,NetFractionRevolvingBurden,2.2201907634735107,0.09438879787921906,0.0011490138713270426,0.001147715956903994,0.09668552875518799,0.0,-0.29885023832321167,-0.009625997394323349,0.0,0.4051617681980133,0.09668552875518799,0.0
1212,1,PercentTradesWBalance,PercentTradesNeverDelq,0.9569129943847656,0.0,0.0,0.002818124135956168,0.002818124135956168,0.0,-0.0018715664045885205,-0.12754711508750916,-0.003743097186088562,0.1322367936372757,0.002818124135956168,1.6530975699424744e-08
688,1,PercentTradesWBalance,PercentTradesNeverDelq,0.9569129943847656,0.0005045412108302116,0.6488989591598511,0.002818124135956168,0.6522216200828552,0.0,-3.725290298461914e-08,0.5199848413467407,-4.470348358154297e-08,0.1322367936372757,0.6522216200828552,5.960464477539063e-08
1025,1,PercentTradesWBalance,PercentTradesNeverDelq,0.9569129943847656,0.0,0.0,0.002818124135956168,0.002818124135956168,0.0,-0.0018715664045885205,-0.12754711508750916,-0.003743097186088562,0.1322367936372757,0.002818124135956168,1.6530975699424744e-08
139,1,PercentTradesWBalance,PercentTradesNeverDelq,0.9569129943847656,0.003743117908015847,0.0,0.002818124135956168,0.006561242043972015,0.0,0.0,-0.12567555904388428,-1.4901161193847656e-08,0.1322367936372757,0.006561242043972015,7.450580596923828e-09
679,1,PercentTradesWBalance,PercentTradesNeverDelq,0.9569129943847656,0.0,0.0,0.002818124135956168,0.002818124135956168,0.0,-0.0018715664045885205,-0.12754711508750916,-0.003743097186088562,0.1322367936372757,0.002818124135956168,1.6530975699424744e-08
1212,2,RevolvingBurdenPerTrade,MaxDelq2PublicRecLast12M,1.2007391452789307,0.01811636984348297,0.0,0.000973259040620178,0.019089628010988235,0.0,0.009133044630289078,0.0,0.0,0.009956583380699158,0.019089628010988235,0.0
688,2,RevolvingBurdenPerTrade,MaxDelq2PublicRecLast12M,1.2007391452789307,0.02128533646464348,0.0,0.000973259040620178,0.022258594632148743,0.0,0.012302011251449585,0.0,0.0,0.009956583380699158,0.022258594632148743,0.0
1025,2,RevolvingBurdenPerTrade,MaxDelq2PublicRecLast12M,1.2007391452789307,0.019763311371207237,0.0,0.000973259040620178,0.0207365695387125,0.0,0.010779986158013344,0.0,0.0,0.009956583380699158,0.0207365695387125,0.0
139,2,RevolvingBurdenPerTrade,MaxDelq2PublicRecLast12M,1.2007391452789307,0.02152010053396225,0.0,0.000973259040620178,0.022493358701467514,0.0,0.012536775320768356,0.0,0.0,0.009956583380699158,0.022493358701467514,0.0
679,2,RevolvingBurdenPerTrade,MaxDelq2PublicRecLast12M,1.2007391452789307,0.007136750966310501,0.0,0.000973259040620178,0.00811001006513834,0.0,-0.0018465733155608177,0.0,0.0,0.009956583380699158,0.00811001006513834,0.0
1212,3,AverageMInFile,NumBank2NatlTradesWHighUtilization,0.9801421761512756,0.7653163075447083,0.0,0.0037247666623443365,0.7690410614013672,0.0,0.550775945186615,-0.00201483815908432,-7.450580596923828e-08,0.22027996182441711,0.7690410614013672,0.0
688,3,AverageMInFile,NumBank2NatlTradesWHighUtilization,0.9801421761512756,0.0970657542347908,0.09046062082052231,0.0037247666623443365,0.19125114381313324,0.0,-0.05900765210390091,0.029978834092617035,-1.4901161193847656e-08,0.22027996182441711,0.19125114381313324,0.0
1025,3,AverageMInFile,NumBank2NatlTradesWHighUtilization,0.9801421761512756,0.06126396358013153,0.009786621667444706,0.0037247666623443365,0.07477535307407379,0.0,-0.14751942455768585,0.0020148158073425293,0.0,0.22027996182441711,0.07477535307407379,0.0
139,3,AverageMInFile,NumBank2NatlTradesWHighUtilization,0.9801421761512756,0.697231113910675,0.0,0.0037247666623443365,0.700955867767334,0.0,0.4826907515525818,-0.00201483815908432,-7.450580596923828e-08,0.22027996182441711,0.700955867767334,0.0
679,3,AverageMInFile,NumBank2NatlTradesWHighUtilization,0.9801421761512756,0.6557881236076355,0.0,0.0037247666623443365,0.6595128774642944,0.0,0.44124770164489746,-0.0020148083567619324,-1.4901161193847656e-08,0.22027996182441711,0.6595128774642944,0.0
1212,4,MaxDelqEver,MSinceOldestTradeOpen,0.8077405691146851,0.013927730731666088,0.10697412490844727,0.0003740920510608703,0.12127595394849777,7.450580596923828e-09,0.0,0.0034589171409606934,0.0,0.11781703680753708,0.12127595394849777,0.0
688,4,MaxDelqEver,MSinceOldestTradeOpen,0.8077405691146851,0.0003057864378206432,0.001508351182565093,0.0003740920510608703,0.002188229700550437,0.0,0.0,-0.11562880873680115,0.0,0.11781703680753708,0.002188229700550437,1.6298145055770874e-09
1025,4,MaxDelqEver,MSinceOldestTradeOpen,0.8077405691146851,0.001786277163773775,0.01297081634402275,0.0003740920510608703,0.01513118576258421,9.313225746154785e-10,0.0,-0.1026858538389206,0.0,0.11781703680753708,0.01513118576258421,2.7939677238464355e-09
139,4,MaxDelqEver,MSinceOldestTradeOpen,0.8077405691146851,0.02880135178565979,0.22213073074817657,0.0003740920510608703,0.2513061761856079,0.0,0.010772734880447388,0.12271639704704285,0.02154546231031418,0.11781703680753708,0.2513061761856079,0.0
679,4,MaxDelqEver,MSinceOldestTradeOpen,0.8077405691146851,0.029373042285442352,0.40198150277137756,0.0003740920510608703,0.43172863125801086,0.0,0.011344417929649353,0.30256718397140503,0.02268882840871811,0.11781703680753708,0.43172863125801086,2.9802322387695312e-08
1212,5,MSinceMostRecentInqexcl7days,NumTrades60Ever2DerogPubRec,0.7933416962623596,0.8351292610168457,0.0,0.003932914696633816,0.8390621542930603,0.0,0.0,0.0,0.0,0.8390621542930603,0.8390621542930603,0.0
688,5,MSinceMostRecentInqexcl7days,NumTrades60Ever2DerogPubRec,0.7933416962623596,0.8351292610168457,0.0,0.003932914696633816,0.8390621542930603,0.0,0.0,0.0,0.0,0.8390621542930603,0.8390621542930603,0.0
1025,5,MSinceMostRecentInqexcl7days,NumTrades60Ever2DerogPubRec,0.7933416962623596,0.0006382646970450878,0.0,0.003932914696633816,0.004571179393678904,0.0,-0.834490954875946,0.0,0.0,0.8390621542930603,0.004571179393678904,2.0023435354232788e-08
139,5,MSinceMostRecentInqexcl7days,NumTrades60Ever2DerogPubRec,0.7933416962623596,0.5221949815750122,0.0,0.003932914696633816,0.5261278748512268,0.0,-0.3129342794418335,0.0,0.0,0.8390621542930603,0.5261278748512268,0.0
679,5,MSinceMostRecentInqexcl7days,NumTrades60Ever2DerogPubRec,0.7933416962623596,0.8351292610168457,0.0,0.003932914696633816,0.8390621542930603,0.0,0.0,0.0,0.0,0.8390621542930603,0.8390621542930603,0.0
