method,auc,pr_auc,brier,log_loss,ece,mce
raw,0.7934822954822954,0.7953678451215533,0.18486352264881134,0.5501927944196611,0.031107371598197223,0.04971525490663614
isotonic,0.7881269841269841,0.7728158563927797,0.18719665706157684,0.5821978912625936,0.028154376141122116,0.05961037471013911
platt,0.7934822954822954,0.7953678451215533,0.18520933151289998,0.5516693535589547,0.03553072667568535,0.06498912049421848
