model,status,error_type,fallback_used,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
logistic_regression,ok,,False,0.7914863654863655,0.798763002519105,0.1862030722549699,0.554334127117256,0.715742511153601,0.6912820512820513,0.8229548229548229,0.7513935340022296
random_forest,ok,,False,0.7877232397232397,0.7814919225500503,0.18799715240340406,0.5613013715671064,0.7131931166347992,0.6821322803553801,0.8437118437118437,0.7543668122270742
xgboost,ok,,False,0.7934236874236874,0.7805368960695711,0.1855049431324005,0.5581259459268769,0.7233906947100064,0.7024185068349106,0.8156288156288156,0.7548022598870057
monotone_xgboost,ok,,False,0.7916849816849817,0.7926893228636707,0.18745827674865723,0.5619831158463844,0.7208413001912046,0.7033084311632871,0.8046398046398047,0.7505694760820045
ebm,ok,,False,0.7944281644281643,0.7982186557396771,0.18480693080336472,0.5509285331263921,0.7195666029318037,0.6951596292481977,0.8241758241758241,0.7541899441340782
monotone_gam,ok,,False,0.7962238502238501,0.7997930585586461,0.1836358616513111,0.5480029891263093,0.7246653919694073,0.6988694758478932,0.8302808302808303,0.7589285714285714
