epochs,batch_size,calibration_keypoints,lattice_size,learning_rate,early_stopping_patience,grouping_mode,max_group_dim,tune_profile,cv_splits,cv_repeats,cv_folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,log_loss_mean,fallback_count,all_lattice,balanced_score,risk_heavy_score,composite_score
20,128,20,3,0.002,4,fixed,2,final,5,1,5,0.783904640783903,0.006004003426722426,0.7804631978468731,0.01132695265988929,0.7489591602405795,0.006389736687081454,0.19198800921440123,0.5688989098942151,0,True,1.7013351984452105,1.7439474766265222,1.7013351984452105
28,256,20,4,0.002,4,fixed,2,final,5,1,5,0.7837491968923225,0.0035366379954518464,0.779159267180124,0.008964824020788988,0.7454955334703186,0.005361349576212298,0.19343060553073882,0.5724481340538717,0,True,1.696613262782603,1.7382560501135207,1.696613262782603
36,256,15,3,0.002,4,fixed,3,final,5,1,5,0.7835397927767314,0.004257009742768493,0.7799347072136016,0.006491267512173093,0.7474976876212018,0.0054475283999866,0.1920429915189743,0.568940620545753,0,True,1.6996855283061254,1.7420235469690921,1.6996855283061254
20,256,15,4,0.003,4,fixed,2,final,5,1,5,0.783536066820439,0.00771490035289809,0.7784942612397698,0.007627174351825392,0.746218980021209,0.009913805724897324,0.19334985613822936,0.5723969611615992,0,True,1.6961309104366076,1.737897071142659,1.6961309104366076
20,256,10,3,0.003,4,correlation,2,final,5,1,5,0.7835025410199332,0.00600527143125247,0.7816301482910293,0.009594733308187834,0.7443969489556673,0.005351856549549498,0.19319315552711486,0.5714976464238631,0,True,1.6986683564350211,1.7404353705300777,1.6986683564350211
20,128,20,3,0.002,4,correlation,2,final,5,1,5,0.783349577629825,0.0033425000932232373,0.7827313802907147,0.008133243237068728,0.7507194408885863,0.006001438020364494,0.19176913797855377,0.5679271386792054,0,True,1.7043123522314,1.7476631059782637,1.7043123522314
20,128,15,3,0.002,6,correlation,3,final,5,1,5,0.7829878336909042,0.004592430689560713,0.7790247318001686,0.010932396290095256,0.7463165605734804,0.002160574600288156,0.19304704368114473,0.5714367390019711,0,True,1.696558578390894,1.7385549599973276,1.696558578390894
20,128,10,3,0.002,6,correlation,3,final,5,1,5,0.782622129444036,0.006389043573400225,0.7794576321473781,0.00965959989096826,0.7480179081618885,0.004731291975710198,0.19278202652931214,0.5706798614456329,0,True,1.6977943588605247,1.7402852847465509,1.6977943588605247
20,256,20,4,0.003,6,fixed,2,final,5,1,5,0.7825765195925369,0.005198421538747561,0.7812008922620166,0.007984109962403394,0.7490267514541578,0.0047811804090458765,0.1930582493543625,0.5712747315327004,0,True,1.699732981674315,1.7425793806962055,1.699732981674315
28,256,20,4,0.002,6,correlation,2,final,5,1,5,0.782384501818072,0.00729542143547582,0.7826555218158028,0.010862550810894628,0.7430345796590793,0.005971038373960073,0.1941388726234436,0.5736042460694686,0,True,1.6969680528144115,1.73868340826072,1.6969680528144115
36,256,10,4,0.002,4,correlation,2,final,5,1,5,0.7823133373958764,0.008861553661677605,0.7813665541834102,0.010655256634531261,0.7451527262928666,0.005352578093409919,0.19253503382205964,0.569745905460227,0,True,1.6983381810502285,1.7405554189749564,1.6983381810502285
20,128,15,3,0.002,4,correlation,3,final,5,1,5,0.7819872668654291,0.010279191014376028,0.7767258566612429,0.014374730146303631,0.7466617627950245,0.005750692450530398,0.19287866950035096,0.5711405306658637,0,True,1.6935690852910616,1.735619543609812,1.6935690852910616
36,256,15,4,0.002,6,correlation,3,final,5,1,5,0.7818296836756278,0.011122435623212275,0.7778892013352866,0.01565989633111934,0.7455077796271704,0.0042479779693857566,0.19359746277332307,0.5727462775218396,0,True,1.6932920851371913,1.7351793105849365,1.6932920851371913
20,256,20,4,0.003,4,correlation,2,final,5,1,5,0.7818056615398045,0.005319004663542401,0.7811499071639908,0.010464220619978613,0.7440338395284248,0.008258469196390762,0.1935879945755005,0.5722965969540009,0,True,1.6959510806190072,1.7378968770854306,1.6959510806190072
20,128,10,4,0.002,6,fixed,3,final,5,1,5,0.7817149540193995,0.007053518333378371,0.7765147202571233,0.010912680896912753,0.7472704557757506,0.007160053144170691,0.192994225025177,0.5715666023054411,0,True,1.6932177463524585,1.735401988614169,1.6932177463524585
28,256,20,3,0.002,4,correlation,3,final,5,1,5,0.7815336265247126,0.006741469269238587,0.7764710536705582,0.011970427165031204,0.7453513264094089,0.0019827265476634235,0.19461027681827545,0.5752373182925578,0,True,1.690425226633925,1.7320740060632924,1.690425226633925
20,128,10,4,0.002,4,fixed,3,final,5,1,5,0.7813333005979659,0.005623867440738828,0.7788708169804329,0.00844400111981482,0.7469783342867244,0.008317628007026663,0.19298892617225646,0.5710702312857835,0,True,1.6952209185372855,1.7376834954087914,1.6952209185372855
28,256,15,3,0.002,4,fixed,2,final,5,1,5,0.7812195378101886,0.004638977740064482,0.7780864210180802,0.004317066796161769,0.7457432531163392,0.006481573288274852,0.19439496397972106,0.5744846529416463,0,True,1.692228964060918,1.7342181165768737,1.692228964060918
28,256,15,4,0.002,6,fixed,3,final,5,1,5,0.7806245931581403,0.006846609439173549,0.7788056183402794,0.008278606173662172,0.7445066948838319,0.008657580021263935,0.19395745992660524,0.5733441852401273,0,True,1.69222160212097,1.73421137503813,1.69222160212097
