model,auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1
logistic_regression,0.7915840455840455,0.7990976477206081,0.1861820815511179,0.5543033070419929,0.7068196303377948,0.6747809152872444,0.8461538461538461,0.7508125677139762
random_forest,0.7895400895400895,0.7834855015453496,0.18734117344876158,0.5595074512683813,0.7017208413001912,0.6641721234798877,0.8669108669108669,0.7521186440677966
xgboost,0.7913789173789174,0.7818042910885734,0.1865309774875641,0.5597400194224141,0.7202039515615042,0.6907630522088354,0.8400488400488401,0.7581267217630854
