test_index,perturbations,exact_match_rate,jaccard_mean
383,8,1.0,1.0
384,8,1.0,1.0
385,8,1.0,1.0
386,8,0.875,0.95
387,8,1.0,1.0
388,8,0.75,0.9
389,8,0.875,0.95
390,8,0.375,0.7499999999999999
391,8,0.25,0.7
392,8,1.0,1.0
393,8,0.625,0.85
394,8,1.0,1.0
395,8,1.0,1.0
396,8,0.875,0.95
397,8,1.0,1.0
398,8,1.0,1.0
399,8,0.875,0.95
