mode,feature_engineering_enabled,threshold,test_auc,test_pr_auc,test_f1,cv_auc_mean,cv_f1_mean
fe_on,True,0.37000000000000005,0.7883785103785104,0.7927632702112422,0.7527675276752768,0.7864546445032777,0.7492481637179887
fe_off,False,0.37000000000000005,0.7909051689051689,0.793048755504496,0.7486744432661718,0.7845411135589698,0.7484782973222535
