original_score_band,cases,feasible_rate,near_feasible_rate,median_total_cost,median_changes
high_risk,11,0.9090909090909091,0.09090909090909091,0.23034902794044793,2.0
moderate_risk,12,1.0,0.0,0.32927002240897596,2.5
near_threshold,10,1.0,0.0,0.11462180437458877,2.0
very_high_risk,47,0.3404255319148936,0.0851063829787234,0.475623882611709,5.0
