model,threshold,denial_rate,precision,recall,f1,tp,fp,tn,fn,target_precision,achieved_precision_at_threshold
xcreditscore,0.4158785939216614,0.6418100701083492,0.6881827209533267,0.8461538461538461,0.7590361445783131,693,314,436,126,0.6873126873126874,0.6881827209533267
logistic_regression,0.4046653931084097,0.6316124920331422,0.6881937436932392,0.8327228327228328,0.7535911602209945,682,309,441,137,0.6873126873126874,0.6881937436932392
random_forest,0.434375,0.6341618865519439,0.6874371859296482,0.8351648351648352,0.7541345093715546,684,311,439,135,0.6873126873126874,0.6888217522658611
xgboost,0.36194443702697754,0.6449968132568515,0.6877470355731226,0.8498168498168498,0.7602403058438011,696,316,434,123,0.6873126873126874,0.6877470355731226
monotone_xgboost,0.37502822279930115,0.6303377947737412,0.6875631951466128,0.8302808302808303,0.7522123893805311,680,309,441,139,0.6873126873126874,0.6875631951466128
ebm,0.4066383529400806,0.6297004461440407,0.6892712550607287,0.8315018315018315,0.7537354731599335,681,307,443,138,0.6873126873126874,0.6892712550607287
monotone_gam,0.399633383211427,0.6437221159974506,0.689108910891089,0.8498168498168498,0.761071623838163,696,314,436,123,0.6873126873126874,0.689108910891089
