metric,n_pairs,mean_delta_xcredit_minus_baseline,delta_ci95_low,delta_ci95_high,paired_sign_flip_pvalue,xcredit_better_on_more_folds,nadeau_bengio_t_stat,nadeau_bengio_pvalue,nadeau_bengio_df,nadeau_bengio_variance_multiplier,paired_sign_flip_pvalue_holm_bonferroni,nadeau_bengio_pvalue_holm_bonferroni
auc,10,0.0056126329559533115,0.004373337269971092,0.007067501147836296,0.0018999050047497626,1.0,4.165663227606804,0.002427201762295868,9.0,0.3500298792876778,0.011399430028498575,0.012136008811479339
pr_auc,10,0.005751897496751646,0.001348937854650638,0.009674131224674622,0.03644817759112044,0.8,1.3750232565593878,0.20238247480710891,9.0,0.3500298792876778,0.10934453277336133,0.6071474244213267
f1,10,0.003959412970834219,0.001742294908216178,0.006082703160284306,0.01609919504024799,0.9,1.8019432649864109,0.10506699016747892,9.0,0.3500298792876778,0.06439678016099196,0.4202679606699157
accuracy,10,0.00023850280680289825,-0.003155264344230425,0.0037760648842851117,0.9158542072896355,0.5,0.06823424400040151,0.9470910779321247,9.0,0.3500298792876778,0.9158542072896355,0.9470910779321247
precision,10,-0.004280012728931704,-0.0078103453489371385,-0.0003617966514506283,0.07559622018899055,0.2,-1.127022744863908,0.28888337534704844,9.0,0.3500298792876778,0.1511924403779811,0.6071474244213267
recall,10,0.017768337681261605,0.013919413919413948,0.021978021978021966,0.0018999050047497626,1.0,4.381336663302691,0.0017676802502895358,9.0,0.3500298792876778,0.011399430028498575,0.010606081501737214
