threshold,approve_rate,deny_rate,policy_interpretation,accuracy,precision,recall,f1,tn,fp,fn,tp
0.3,0.2606755895474825,0.7393244104525175,catch_defaults_policy_high_recall,0.6819630337794774,0.6379310344827587,0.9035409035409036,0.7478524507326932,330,420,79,740
0.31,0.26896112173358827,0.7310388782664117,catch_defaults_policy_high_recall,0.6876991714467814,0.6434176111595467,0.9010989010989011,0.7507629704984741,341,409,81,738
0.32,0.27979604843849587,0.7202039515615042,catch_defaults_policy_high_recall,0.6908859145952836,0.647787610619469,0.8937728937728938,0.7511544381734223,352,398,87,732
0.33,0.29318036966220523,0.7068196303377948,catch_defaults_policy_high_recall,0.7004461440407903,0.6573489630297565,0.8901098901098901,0.7562240663900415,370,380,90,729
0.34,0.29700446144040793,0.7029955385595921,catch_defaults_policy_high_recall,0.6991714467813894,0.657298277425204,0.8852258852258852,0.7544224765868887,372,378,94,725
0.35000000000000003,0.30401529636711283,0.6959847036328872,catch_defaults_policy_high_recall,0.7061822817080943,0.6639194139194139,0.8852258852258852,0.7587650444793302,383,367,94,725
0.36000000000000004,0.30911408540471635,0.6908859145952836,catch_defaults_policy_high_recall,0.7061822817080943,0.665129151291513,0.8803418803418803,0.7577509196006306,387,363,98,721
0.37000000000000005,0.3154875717017208,0.6845124282982792,catch_defaults_policy_high_recall,0.7061822817080943,0.6666666666666666,0.8742368742368742,0.7564712097200211,392,358,103,716
0.38000000000000006,0.3231357552581262,0.6768642447418738,catch_defaults_policy_high_recall,0.7087316762268961,0.6704331450094162,0.8693528693528694,0.7570441254651781,400,350,107,712
0.39000000000000007,0.33397068196303376,0.6660293180369662,catch_defaults_policy_high_recall,0.7106437221159975,0.6746411483253588,0.8608058608058609,0.7564377682403434,410,340,114,705
0.4000000000000001,0.34608030592734224,0.6539196940726577,catch_defaults_policy_high_recall,0.7151051625239006,0.6812865497076024,0.8534798534798534,0.7577235772357723,423,327,120,699
0.4100000000000001,0.3550031867431485,0.6449968132568515,balanced_policy_tradeoff,0.7163798597833014,0.6847826086956522,0.8461538461538461,0.7569634079737848,431,319,126,693
0.4200000000000001,0.3620140216698534,0.6379859783301466,balanced_policy_tradeoff,0.7170172084130019,0.6873126873126874,0.8400488400488401,0.756043956043956,437,313,131,688
0.4300000000000001,0.36966220522625876,0.6303377947737412,balanced_policy_tradeoff,0.7170172084130019,0.6895854398382204,0.8327228327228328,0.754424778761062,443,307,137,682
0.4400000000000001,0.3792224346717655,0.6207775653282346,balanced_policy_tradeoff,0.7151051625239006,0.6909650924024641,0.8217338217338217,0.7506971556051311,449,301,146,673
0.4500000000000001,0.38750796685787126,0.6124920331421287,balanced_policy_tradeoff,0.715742511153601,0.6940686784599376,0.8144078144078144,0.749438202247191,456,294,152,667
0.46000000000000013,0.3977055449330784,0.6022944550669216,balanced_policy_tradeoff,0.715742511153601,0.6973544973544974,0.8046398046398047,0.7471655328798186,464,286,160,659
0.47000000000000014,0.4072657743785851,0.5927342256214149,balanced_policy_tradeoff,0.7176545570427023,0.7021505376344086,0.7973137973137974,0.7467124070897656,473,277,166,653
