original_score_band,n_cases,feasible,feasible_rate,feasible_rate_wilson_ci95_low,feasible_rate_wilson_ci95_high,near_feasible,near_feasible_rate,near_feasible_rate_wilson_ci95_low,near_feasible_rate_wilson_ci95_high,median_total_cost,small_n_flag,reliability_note
OVERALL,586,12,0.020477815699658702,0.011752262965963045,0.03544933401292557,69,0.11774744027303755,0.09410733569097254,0.14636653521034795,0.09473684210526315,False,
near_threshold,142,9,0.06338028169014084,0.03369967193255277,0.11606198704500362,63,0.44366197183098594,0.3645010697878813,0.5257907571769647,0.11999999999999997,False,
moderate_risk,153,3,0.0196078431372549,0.006690488440254393,0.05605732642128154,6,0.0392156862745098,0.018094740908342608,0.08290826518333472,0.09473684210526337,False,
high_risk,124,0,0.0,0.0,0.030048615340677695,0,0.0,0.0,0.030048615340677695,0.0852631578947368,False,
very_high_risk,167,0,0.0,0.0,0.02248551872134217,0,0.0,0.0,0.02248551872134217,0.0852631578947368,False,
